Key,Definition
DB,Dropbacks : Total pass attempts plus sacks and scrambles.
ATT,Attempts : Total number of forward pass attempts.
COM,Completions : Total number of successful pass completions.
COM%,Completion Percentage : (Completions / Pass Attempts).
YDS,Passing Yards : Gross yardage gained via the pass.
YPA,Yards per Attempt : Mean passing yardage per pass attempt.
TD / INT,Passing Touchdowns and Interceptions.
BTT,"Big-Time Throw : A PFF Signature Stat. A pass with excellent ball location and timing, generally thrown further downfield and/or into a tight window. This metric excludes ""dink and dunk"" completions regardless of yardage."
BTT%,Big-Time Throw Rate : Frequency of BTTs relative to total pass attempts.
TWP,Turnover-Worthy Play : A PFF Signature Stat. Passes with a high percentage chance of being intercepted or plays where the QB lacks ball security (fumbling).
TWP%,Turnover-Worthy Play Rate : Frequency of TWPs relative to total dropbacks.
aDoT,Average Depth of Target : The mean distance downfield at which a pass is aimed.
ADJ%,"Adjusted Completion Percentage : The percentage of aimed passes thrown on target. Formula: (Completions + Drops) / Aimed Passes (excluding spikes, throwaways, etc.)."
DRP / DRP%,Drops / Drop Rate : On-target passes dropped by the receiver and the frequency thereof.
BAT,Batted Passes : Passes deflected by a defender at or near the line of scrimmage.
HAT,Hit As Thrown : Passing attempts where the QB is contacted by a defender during the release.
TA,Thrown Away : Passes intentionally discarded to avoid a negative play or pressure.
DPR,"Total Pressures : Cumulative count of Sacks, Hits, and Hurries generated by the defense."
SK,Sacks : Number of times the passer was tackled behind the line of scrimmage.
P2S%,Pressure-to-Sack Rate : Frequency at which a recorded pressure results in a sack; used to evaluate a QB’s pocket presence and the pass rush’s finishing rate.
TTT,Time to Throw : The mean time elapsed from snap to pass release or scramble.
SCR,Scrambles : Total undesigned rushing attempts initiated by the quarterback.
1st,First Downs : Total passing plays resulting in a first down.
NFL,NFL Passer Rating : Standard league-wide efficiency metric.
